R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.76,0,608828.006087483,57838.6605783109,613.205064713787,58.2544811478097,1790558.7888478,7542103.08494054,0.0867579908675799,223.896499253621,21.270167429094
15,0.03,0.76,0.01,592667.020339131,57869.6224130335,618.737754093568,58.2438814075153,1806714.24190678,7542072.13370556,0.0860346549347749,225.916622463414,21.266297198919
15,0.03,0.76,0.02,577312.174608598,57925.744388978,623.994462597423,58.2246681265163,1822063.8309288,7542016.0309429,0.0853459914921046,227.835978155884,21.2592819496943
15,0.03,0.76,0.03,562707.204322659,58005.3983926315,628.994452503968,58.1973987043582,1836663.80122484,7541936.40420866,0.0846887206273278,229.661599470511,21.2493252019288
15,0.03,0.76,0.04,548800.660128226,58107.1542455517,633.755337146444,58.1625627347639,1850565.58453463,7541834.68319171,0.0840599191677936,231.399917475595,21.2366057185307
15,0.03,0.76,0.05,535545.447195964,58229.7544717499,638.293239562273,58.1205907307231,1863816.25956447,7541712.12493752,0.0834569737167203,233.056819095175,21.2212806905553
15,0.03,0.76,0.06,522898.408774725,58372.0928374382,642.622934301835,58.0718614005092,1876458.96829097,7541569.83530116,0.0828775406306545,234.637698886958,21.2034883938609
15,0.03,0.76,0.07,510819.950674715,58533.1960430632,646.757976468785,58.0167079601012,1888533.29134882,7541408.78724898,0.0823195118126511,236.147506158165,21.183350493932
15,0.03,0.76,0.08,499273.703368895,58712.2080726086,650.710817016413,57.9554234563893,1900075.58581409,7541229.83650394,0.0817809853870323,237.590787063118,21.1609739895142
15,0.03,0.76,0.09,488226.218268797,58908.3767794245,654.492907082337,57.8882653912736,1911119.28882412,7541033.73495518,0.081260240483711,238.971722698438,21.1364529009888
15,0.03,0.76,0.1,477646.694876498,59121.0423609453,658.114791165461,57.8154596465998,1921695.19033234,7540821.14217941,0.080755715491867,240.294163124289,21.1098697034647
