R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.93,0,476676.402526753,189989.594721377,76.4586906499162,30.474249559038,223247.138782596,9109979.93102908,0.284984678243105,27.9169794235506,11.1269103702437
15,0.03,0.93,0.0001,476328.865975949,189911.158576565,76.5731750194226,30.4993108947857,223594.56084903,9110058.34211254,0.284847322207717,27.9587805289667,11.1360608904586
15,0.03,0.93,0.001,473214.895889036,189213.025902259,77.6436689954836,30.7400708174445,226707.460441969,9110756.23402694,0.283622532960223,28.3496446419759,11.2239683572194
15,0.03,0.93,0.01,443393.226449754,182915.235063024,87.852494284442,32.895804487129,256518.921055961,9117051.8691325,0.272432860932978,32.0771419756069,12.011080613363
15,0.03,0.931,0,474569.599849324,192097.520634661,73.7452189580704,29.8507821086798,215356.654931718,9117872.62858322,0.288146084803467,26.9262230720655,10.8992668174317
15,0.03,0.931,0.0001,474221.915549615,192016.832461386,73.8664836265049,29.8793117707816,215704.21796676,9117953.28822684,0.288005038241415,26.9704998341276,10.9096837103066
15,0.03,0.931,0.001,471103.370995011,191297.455291834,74.9326288661857,30.1250046810472,218821.696376122,9118672.41970351,0.286747413432869,27.359776114766,10.9993923341673
15,0.03,0.931,0.01,441225.341199939,184811.729617831,85.1639762895005,32.3465286674075,248689.494823771,9125155.92385351,0.275264995919039,31.0954968427039,11.8105262796872
15,0.03,0.932,0,472419.084538219,194247.611818949,71.0739869902567,29.2239511212878,207509.841474793,9125723.16422994,0.291371404751979,25.9508894998175,10.6703951531602
15,0.03,0.932,0.0001,472070.347205549,194164.191122594,71.1913069413485,29.2516570769324,207858.461487506,9125806.55722031,0.291226541976683,25.9937259469599,10.680511290215
15,0.03,0.932,0.001,468948.696832611,193423.174889156,72.2613110834338,29.5058608620661,210979.041856304,9126547.31924997,0.289934959358678,26.3844112093388,10.7733274472619
15,0.03,0.932,0.01,439019.624066694,186743.269892362,82.5032124084436,31.7908822824695,240897.872720897,9133224.93922538,0.278149823649612,30.1239854306329,11.6076458933866
15,0.03,0.933,0,470224.428345757,196441.518647728,68.3851042848929,28.5686428199128,199707.186549958,9133529.91270943,0.294662596062744,24.9691112020216,10.4311257096207
15,0.03,0.933,0.0001,469876.393730101,196355.971200666,68.5022601733209,28.5971000763199,200055.104009722,9133615.43169927,0.294513784671673,25.0118877457838,10.4415161653663
15,0.03,0.933,0.001,466751.099859298,195592.049690359,69.5735163347871,28.8591996816366,203179.326624368,9134379.09110994,0.293187070819233,25.4030301517392,10.5372152837576
15,0.03,0.933,0.01,436775.891052638,188711.151433427,79.8393872042382,31.2165908419305,233144.269560157,9141257.63197574,0.281088793157564,29.1513562529475,11.3979577311598
15,0.03,0.934,0,467986.449792194,198681.520048141,65.7354831208523,27.9077005613074,191947.814724678,9141290.57225132,0.298021697511169,24.0016682745011,10.1897991674473
15,0.03,0.934,0.0001,467637.460785235,198593.031289773,65.861665299073,27.9408395879626,192296.677549466,9141379.02787065,0.297868800216062,24.047740542324,10.2018990545548
15,0.03,0.934,0.001,464510.244405358,197805.82054104,66.9299228191077,28.2093348736043,195422.82567182,9142165.97012407,0.296505728105604,24.4377880693267,10.2999333957248
15,0.03,0.934,0.01,434492.124780268,190716.015180626,77.2072219631398,30.6366689489022,225430.667997768,9149253.34815042,0.284083490402712,28.1902869192914,11.1862137499679
15,0.03,0.935,0,465698.801742071,200966.944444079,63.1043585295665,27.2319577962207,184238.093899403,9149005.82359809,0.301450832885546,23.040978908108,9.94306859034511
15,0.03,0.935,0.0001,465349.544121504,200875.669951093,63.2182754638072,27.2607658490737,184587.237603032,9149097.0692831,0.301293707951709,23.0825728287225,9.953587130643
15,0.03,0.935,0.001,462220.90122088,200064.237066664,64.2920864760909,27.5397163590622,187714.806692644,9149908.22321697,0.299893016458565,23.4746480745827,10.0554389356026
15,0.03,0.935,0.01,432168.247220736,192759.311853531,74.5686014901551,30.0355673937696,217757.184177773,9157210.65257906,0.287135471886392,27.2268606190929,10.9667365446501
15,0.03,0.936,0,463364.523694035,203301.184770758,60.4602331041437,26.5269272744431,176575.016072866,9156672.28830198,0.304952215464814,22.0755426121504,9.68564432108101
15,0.03,0.936,0.0001,463016.407108049,203207.602356012,60.577407966718,26.5580907689759,176923.015483982,9156765.83955325,0.304790712790133,22.1183260838478,9.69702289202228
15,0.03,0.936,0.001,459886.495298671,202370.792212676,61.649446384432,26.8448346183306,180051.855254945,9157602.36295271,0.303351067596024,22.5097541111157,9.80172024001795
15,0.03,0.936,0.01,429802.600164763,194841.930614823,71.9667975496639,29.4300820327842,210125.433037687,9165128.63930315,0.290246427246846,26.276876955321,10.7456587022203
15,0.03,0.937,0,460982.455880689,205685.98150486,57.8593152422231,25.8162754199824,168959.684804082,9164288.20221972,0.308528152782352,21.1258824778167,9.42616756272108
15,0.03,0.937,0.0001,460633.416134979,205589.04275865,57.9886841362644,25.8538664304397,169308.595180882,9164385.10337488,0.308362117513001,21.1731182952537,9.43989298041435
15,0.03,0.937,0.001,457503.811145886,204726.265042911,59.0578698588255,26.1482297876219,172437.130984264,9165247.58672727,0.306882135153714,21.5635047322037,9.54737240120545
15,0.03,0.937,0.01,427393.414797406,196964.75828238,69.3570352284842,28.8014896808576,202537.228167364,9173006.44022794,0.293418118369835,25.3239874878003,10.5161439197231
15,0.03,0.938,0,458546.258362375,208120.834037375,55.2886702130443,25.0939222547592,161398.452967416,9171854.07204037,0.312181051697361,20.1872757115378,9.16241836326896
15,0.03,0.938,0.0001,458196.553428209,208020.489504731,55.4070316998785,25.1276530657544,161748.039540092,9171954.38284221,0.312010323736653,20.2304924494181,9.17473432563358
15,0.03,0.938,0.001,455068.038115272,207130.759424662,56.4779780279548,25.4321632715738,164875.483906708,9172843.80841209,0.310488577703383,20.6215217274569,9.28591861453334
15,0.03,0.938,0.01,424941.846334019,199129.966392499,66.779145882544,28.1655580159772,194991.374520099,9180841.86804951,0.296652228712842,24.3827356403638,10.2839493705837
15,0.03,0.939,0,456056.345803407,210608.315758722,52.7107564722082,24.3420001610182,153890.943440094,9179367.34224107,0.315913423797242,19.2460149569152,8.88787280879184
15,0.03,0.939,0.0001,455707.60970863,210505.145908942,52.8187492018,24.372058462647,154239.571542163,9179470.48203259,0.315737834595458,19.2854458023073,8.89884784617398
15,0.03,0.939,0.001,452580.843524721,209587.344205507,53.8892751768532,24.6863150122875,157365.267200106,9180387.96947944,0.31417282330129,19.6763215989486,9.01359076886151
15,0.03,0.939,0.01,422442.866788324,201337.204278114,64.2157655345057,27.5145980236014,187492.917446141,9188635.28112385,0.299950822784782,23.4467813907864,10.0462676033675
15,0.03,0.94,0,453513.481426134,213151.336270284,50.1363512374081,23.564085081582,146436.382222638,9186825.09964463,0.319727891156464,18.3060352455586,8.60383656541262
