R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.886,0,540617.445265629,126049.225396144,205.197758040938,47.8434772695451,599177.35697633,8733902.93112658,0.189073836961161,74.9228314046977,17.4688496380427
15,0.03,0.886,0.01,512227.525598971,123894.463953693,214.917002119451,48.5811558075908,627557.557398909,8736056.9548905,0.184370001634099,78.4715703988646,17.7381945142466
15,0.03,0.886,0.02,486305.102559052,122091.914153009,223.791487156731,49.1982519290629,653471.105953791,8737858.88759506,0.180220150742007,81.7118667481015,17.9635117355991
15,0.03,0.886,0.03,462609.016699658,120584.229481591,231.903798900794,49.7144037525493,677159.079501441,8739366.05611465,0.176531215965983,84.6738745736523,18.1519716701496
15,0.03,0.886,0.04,440911.514101463,119324.949630124,239.331900561879,50.1455150468844,698849.153997975,8740624.90485483,0.173227728116301,87.3860601926559,18.3093811814937
15,0.03,0.886,0.05,421003.679959851,118276.379038413,246.147319880762,50.5044920361879,718750.172720267,8741673.11646955,0.170248385505655,89.8745401714633,18.4404526547131
15,0.03,0.886,0.06,402697.219906916,117407.827013136,252.414508505673,50.8018393829034,737050.365584578,8742541.37114748,0.167543207141231,92.1628474181339,18.5490216046826
15,0.03,0.886,0.07,385824.222435164,116694.189619028,258.190954237674,51.0461521173952,753917.586610598,8743254.76422885,0.16507123843923,94.2719721660307,18.6382262918639
15,0.03,0.886,0.08,370235.888868546,116114.82401696,263.527597042189,51.2444970727286,769500.583534412,8743833.93148597,0.162798729718461,96.2205138700293,18.71064699368
15,0.03,0.886,0.09,355800.806233879,115652.660969204,268.469426143663,51.4027179154402,783930.724339976,8744295.93631288,0.160697700222194,98.0248992207049,18.7684173788751
15,0.03,0.886,0.1,342403.089029353,115293.506738044,273.056114646577,51.5256738258669,797323.854856,8744654.96758813,0.158744808414417,99.6996138603316,18.8133116556696
15,0.03,0.886,0.11,329940.564193605,115025.49342699,277.322641472946,51.6174277854308,809782.113164923,8744922.88914523,0.156920462447177,101.25742946781,18.8468133201554
15,0.03,0.886,0.12,318323.085929738,114838.645022155,281.299867859525,51.6813950592358,821395.614202402,8745109.67358279,0.155208117736777,102.709614252209,18.8701693710035
