R0,vaccine_failure,coverage,assortativity,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0,0,666666.666417052,0,3195.25277242559,0,9330138.08081052,0,0,1166.66666853189,0
15,0.03,0,0.266673269157703,666666.666395211,0,3195.25277051281,0,9330138.08083428,0,0,1166.66666783349,0
15,0.03,0,0.392305325416338,666666.666412958,0,3195.2527648379,0,9330138.08082221,0,0,1166.66666576144,0
15,0.03,0,0.598779134946017,666666.666412921,0,3195.25276485586,0,9330138.08082222,0,0,1166.666665768,0
15,0.03,0,0.9,666666.666394365,0,3195.2527701129,0,9330138.08083552,0,0,1166.66666768747,0
15,0.03,0,0.98,666666.666417117,0,3195.25277244049,0,9330138.08081044,0,0,1166.66666853734,0
15,0.03,0.01,0,666464.707909678,201.959002396872,3161.08705223969,0.95790516734536,9230374.20503808,99797.0830924358,0.000302938503483793,1154.19190994902,0.349755124226974
15,0.03,0.01,0.266673269157703,664731.798734571,266.168240575175,3161.68031603352,0.935923231860747,9232106.52094939,99732.895836193,0.000295933227762767,1154.40852539174,0.341728970033155
15,0.03,0.01,0.392305325416338,663918.401702347,313.164347050636,3161.95877812379,0.91983418362977,9232919.63951953,99685.9158187657,0.000290821841865983,1154.51019886245,0.33585445629782
15,0.03,0.01,0.598779134946017,662585.545119051,441.782241445467,3162.41508683447,0.875802040986188,9234252.03979412,99557.3419565136,0.000276864212540862,1154.67680858044,0.319777220215082
15,0.03,0.01,0.9,660647.462056199,1137.38225284357,3163.07858635568,0.637664412817569,9236189.45935745,98861.9800827436,0.000201555500643484,1154.91906884312,0.232827218730015
15,0.03,0.01,0.98,660130.804694708,2136.51805341241,3163.25545899482,0.29561175845642,9236705.9398463,97863.1863348291,9.34430176232404e-05,1154.98364946548,0.1079352433064
15,0.03,0.02,0,666258.75340702,407.913522494094,3126.92271517902,1.91444247868103,9130614.3238778,199590.172035027,0.000611870283499898,1141.71765637974,0.699010810028411
15,0.03,0.02,0.266673269157703,662769.10187939,537.339339824233,3128.11738724049,1.87013373968327,9134102.78073337,199460.790526436,0.000597489199924231,1142.15386101618,0.682832581701853
15,0.03,0.02,0.392305325416338,661137.456583116,632.025246147009,3128.67597274458,1.83771815721279,9135733.86744414,199366.137035696,0.000587034058516897,1142.35781454836,0.67099684215232
15,0.03,0.02,0.598779134946017,658472.491923886,890.978358672914,3129.58833543964,1.74906595464161,9138397.91974067,199107.272575372,0.000558568346503578,1142.6909409774,0.638627706688519
15,0.03,0.02,0.9,654616.524024372,2287.49320966124,3130.90842312207,1.27097117502137,9142252.56755251,197711.235819164,0.000405778537888182,1143.17293799245,0.464063350279676
