R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.95,0.0001,424295.426154491,241893.614349545,25.9028421329311,14.7491470280037,75678.6710034075,9258091.63650477,0.362814891286479,9.45777523378647,5.38528230859984
15,0.03,0.95,0.001,421261.375978398,240583.579496838,26.9552831250014,15.2054640121645,78711.6687386431,9259401.21503769,0.360654519776298,9.84204775101614,5.55189504744157
15,0.03,0.95,0.01,391578.947391758,228871.194013134,37.1047117188921,19.2088350577282,108383.947896523,9271109.59715181,0.341105047670397,13.5478578663605,7.01362590045301
15,0.03,0.95,0.1,207679.477843505,184287.512885957,100.075500796287,34.4787718513606,292220.4466557,9315678.00834219,0.256244347897067,36.5400672282443,12.589061572228
15,0.03,0.9505,0.0001,422655.567818721,243519.440777047,24.7774878943875,14.2581904314782,72319.6546934915,9261466.30103261,0.365260475620593,9.04688026743825,5.20602178129347
15,0.03,0.9505,0.001,419644.924974102,242195.844248328,25.8193635055282,14.7176400772007,75329.2556624811,9262789.43811249,0.363066797652288,9.427295099956,5.37377833318791
15,0.03,0.9505,0.01,390004.85814529,230282.115348816,35.9492734631105,18.7862221018647,104959.192581276,9274699.09842844,0.343218270118045,13.1259784732182,6.85931934494334
15,0.03,0.9505,0.1,206262.909123689,185080.487360058,98.8487108216116,34.258647810438,288638.242165491,9319885.25399213,0.257376062169032,36.0921355387409,12.5086887817862
15,0.03,0.951,0.0001,421003.347411861,245170.210485828,23.6290598137686,13.7431190321069,68973.0235282569,9264816.04639474,0.367736628061857,8.62756046450226,5.01795633659804
15,0.03,0.951,0.001,418001.930605334,243824.311105383,24.6233953424033,14.1847164832744,71973.4459993408,9266161.50417794,0.365509060244692,8.99061722439502,5.17919460595556
15,0.03,0.951,0.01,388421.977442935,231712.96928912,34.7564513743782,18.3356029722963,101543.266105689,9278268.6951084,0.345354934894223,12.6904493080698,6.69478703525969
15,0.03,0.951,0.1,204838.356482615,185879.199016853,97.624667001635,34.0365642466784,285064.018850384,9324086.7644189,0.258516223219008,35.645206538972,12.4276005205684
15,0.03,0.9515,0.0001,419339.510014537,246847.120517991,22.4630572876345,13.2063997839105,65638.0269273773,9268139.67308902,0.370243924863262,8.20182379214755,4.82198672110031
15,0.03,0.9515,0.001,416339.350721291,245473.502406378,23.4851236647222,13.6738133313105,68637.164155045,9269512.82378029,0.367981821782749,8.57500577808171,4.99265109259475
15,0.03,0.9515,0.01,386819.193151005,233158.372854759,33.5950176149765,17.892878540265,98147.2118313852,9281823.73426671,0.347516210146091,12.2663808066683,6.53313727701427
15,0.03,0.9515,0.1,203405.739474135,186683.707660105,96.4033761752552,33.8124932064868,281497.857149691,9328282.47984668,0.259664919237776,35.1992827259901,12.3457865820185
15,0.03,0.952,0.0001,417643.258476123,248538.615228488,21.3767000371081,12.7051234588207,62335.3648238397,9271448.67964804,0.372782972141686,7.80516760104911,4.63895820290192
15,0.03,0.952,0.001,414652.052250596,247141.018382221,22.4062218040071,13.1866497060264,65325.5415274649,9272845.79496067,0.370485694089311,8.1810717361881,4.81477547391291
15,0.03,0.952,0.01,385198.236527621,234619.633902318,32.4329986800424,17.4410867199718,94769.3304737076,9285362.92501089,0.349702387123211,11.8420986430505,6.36817678862972
15,0.03,0.952,0.1,201964.971186959,187494.072038657,95.1848835773596,33.5864203174754,277939.843929464,9332472.34154103,0.260822243012346,34.7543806161834,12.2632417184182
15,0.03,0.9525,0.0001,415929.799375959,250254.26157972,20.2181743858929,12.1492564984983,59049.9824496542,9274733.58916581,0.37535436599502,7.38216092264915,4.43599727901419
15,0.03,0.9525,0.001,412944.199304416,248829.883659131,21.2594405052603,12.6483117425245,62034.5412552135,9276157.46802926,0.373021238626953,7.76235321448317,4.61821482498927
15,0.03,0.9525,0.01,383557.967956419,236096.555340791,31.2930562093463,16.9922866912088,91410.7389873719,9288886.45237244,0.351913969549825,11.4258771484376,6.20430867812761
15,0.03,0.9525,0.1,200515.968252893,188310.353344834,93.9692052779671,33.3583199418425,274390.06254183,9336656.28833522,0.261988284813162,34.3105060771178,12.1799565687653
15,0.03,0.953,0.0001,414183.461390563,251985.290936431,19.0864649952342,11.5971346677206,55797.4521441377,9278003.11193051,0.377958740014529,6.96894553138489,4.2344037955515
15,0.03,0.953,0.001,411217.873567528,250542.003945097,20.099275826541,12.0899029234127,58762.0271566556,9279445.90615211,0.375589045540035,7.33874808616578,4.41432580491106
15,0.03,0.953,0.01,381903.129249964,237592.153303809,30.1487885708751,16.5320769735863,88066.7219614525,9292391.31461951,0.354151037706022,11.0080764269408,6.03627460498069
15,0.03,0.953,0.1,199058.640994928,189132.611776108,92.7563673231659,33.128170069394,270848.602637749,9340834.26005382,0.263163139457602,33.867668618871,12.0959230965875
15,0.03,0.9535,0.0001,412422.923122738,253743.644343003,17.987188274699,11.0523548303223,52559.089689,9281245.30330293,0.380596719113367,6.56757211879948,4.03549105742144
15,0.03,0.9535,0.001,409474.887253836,252279.204636163,18.9765572970334,11.5416859083199,55506.1361888858,9282709.25367606,0.378189721821711,6.92881548307931,4.21415806727529
15,0.03,0.9535,0.01,380230.461340518,239105.134554985,29.0123429101968,16.0668770477816,84740.5263165547,9295878.79856787,0.356414264993021,10.5931317050856,5.86641848207126
15,0.03,0.9535,0.1,197592.902741375,189960.90985552,91.5464294359565,32.895959737155,267315.55082919,9345006.19418474,0.26434689944271,33.4258900478036,12.0111372990287
15,0.03,0.954,0.0001,410638.98810594,255524.48257333,16.881883214838,10.4912863754785,49344.1300109614,9284465.02614129,0.383268964920668,6.16399760881771,3.83063093784658
15,0.03,0.954,0.001,407699.584969254,254032.647937772,17.8898206317128,11.0031294061697,52282.5252101514,9285956.34893325,0.380824020798955,6.53202075815412,4.01751762442772
15,0.03,0.954,0.01,378541.595586406,240636.889797385,27.9118601441403,15.6122831446899,81430.4925534088,9299347.49792024,0.35870397358738,10.1913179351292,5.70043488320489
15,0.03,0.954,0.1,196118.660708795,190795.309168682,90.339376888301,32.6616514648738,263790.999914317,9349172.02917985,0.265539661758696,32.9851649863409,11.925585491112
15,0.03,0.9545,0.0001,408833.805949907,257329.874092407,15.7855555729744,9.9228196324538,46150.4084945958,9287660.20308735,0.385976147973701,5.76370097858228,3.62306951829969
15,0.03,0.9545,0.001,405916.16991914,255817.886269479,16.8112364937041,10.4572625867675,49067.0188443885,9289171.65646826,0.383492415769098,6.13820272476371,3.81820800199347
15,0.03,0.9545,0.01,376831.090709202,242184.861233723,26.7729080238272,15.1266060946053,78142.1363828078,9302800.01215975,0.361021038378839,9.77545804219991,5.52310205029277
15,0.03,0.9545,0.1,194635.824592021,191635.873509242,89.1352954969559,32.425242952922,260275.040112483,9353331.7012478,0.266741521273301,32.545524768326,11.8392668331857
15,0.03,0.955,0.0001,407001.723498458,259157.020210527,14.7321085771287,9.36827679632968,42983.5443929983,9290833.61151346,0.388718962421527,5.37906114422411,3.42059206525988
15,0.03,0.955,0.001,404091.110213079,257614.859637241,15.7441135614283,9.90594616606722,45893.1456739467,9292375.23441299,0.386195832341417,5.74856946411653,3.61690859388529
15,0.03,0.955,0.01,375106.770576787,243753.963934163,25.6103333903788,14.6173423982517,74867.6190899627,9306231.41872399,0.36336532279558,9.35097297916208,5.33715714316164
15,0.03,0.955,0.1,193144.298255416,192482.665834852,87.9341585556338,32.1866912911353,256767.767586029,9357485.14747386,0.267952577193667,32.1069596426258,11.7521656576758
15,0.03,0.9555,0.0001,405154.04879129,261013.901416983,13.6084700665001,8.7554210557323,39832.3427385616,9293977.34316049,0.391498107725465,4.96879263303084,3.19682311297426
15,0.03,0.9555,0.001,402259.047599637,259445.966280682,14.6591719659493,9.33036213064587,42726.293228372,9295544.70335646,0.388934695149837,5.35243016406724,3.40674847295207
