R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0,0.0001,666666.666417119,0,3195.25277244096,0,9330138.08081044,0,0,1166.66666853751,0
15,0.03,0,0.001,666666.666897348,0,3195.2527700651,0,9330138.08033259,0,0,1166.66666767002,0
15,0.03,0,0.01,666666.666412346,0,3195.2527651451,0,9330138.08082251,0,0,1166.6666658736,0
15,0.03,0,0.1,666666.666937934,0,3195.25276405035,0,9330138.08029802,0,0,1166.66666547388,0
15,0.03,0.01,0.0001,666464.055945918,201.977256683061,3161.0872833103,0.957898920403087,9230374.85677077,99797.0648443965,0.000302936506342811,1154.19199431867,0.349752843312177
15,0.03,0.01,0.001,666458.193266347,202.141695829111,3161.08928085018,0.957842622015222,9230380.7174528,99796.9004615489,0.000302918515952864,1154.19272367042,0.349732287363308
15,0.03,0.01,0.01,666399.566978059,203.800979405566,3161.10935412592,0.957274569555248,9230439.32366781,99795.2417460249,0.000302737001449643,1154.20005292523,0.34952487720886
15,0.03,0.01,0.1,665813.857128342,222.031915010816,3161.30989258768,0.951033242409653,9231024.83297907,99777.0170517468,0.000300744709154577,1154.27327453108,0.347246012634825
15,0.03,0.02,0.0001,666257.438015336,407.950327647774,3126.92316608478,1.91442987884857,9130615.63881858,199590.135242473,0.000611866170784413,1141.7178210167,0.699006209514585
15,0.03,0.02,0.001,666245.599558171,408.28187424325,3126.92723282646,1.91431638285299,9130627.473209,199589.803809374,0.000611829123573469,1141.71930588576,0.698964769289198
15,0.03,0.02,0.01,666127.241876092,411.627345945863,3126.96773478541,1.91317105480504,9130745.79038912,199586.459482999,0.000611455377299278,1141.73409416352,0.69854658138569
15,0.03,0.02,0.1,664945.939247113,448.381740911926,3127.37216870092,1.90058825257012,9131926.68858418,199549.717670836,0.000607357811282785,1141.88176309692,0.693952285719665
15,0.03,0.03,0.0001,666046.691049331,618.038972562385,3092.76046575574,2.86955187885252,9030860.54848491,299379.091475559,0.000926968617859955,1129.24416505906,1.04774512976603
15,0.03,0.03,0.001,666028.763173009,618.54035148154,3092.76661166508,2.86938024025278,9030878.47021533,299378.590268278,0.000926911383559248,1129.24640908421,1.0476824602223
15,0.03,0.03,0.01,665849.536803163,623.599474065775,3092.82795680291,2.86764824533582,9031057.63524003,299373.532877689,0.000926334049335941,1129.26880772766,1.04705006557824
15,0.03,0.03,0.1,664062.508238402,679.175938271119,3093.43973919079,2.84862172163133,9032844.05202241,299317.975440007,0.00092001176556821,1129.49218477204,1.04010300611064
15,0.03,0.04,0.0001,665831.692047219,832.367787644897,3058.59921323423,3.82322225427431,8931109.70873955,399163.808990101,0.00124843072267541,1116.77103773215,1.39595402559191
15,0.03,0.04,0.001,665807.555495562,833.041778492514,3058.60747594003,3.82299151400473,8931133.8370285,399163.135229993,0.00124835210289133,1116.7740546526,1.39586977655098
15,0.03,0.04,0.01,665566.290361514,839.842582486803,3058.69007180736,3.82066326778462,8931375.01956668,399156.336754245,0.00124755914290399,1116.80421246866,1.39501967564986
15,0.03,0.04,0.1,663163.144373827,914.545927863674,3059.51278779884,3.7950886920568,8933777.34283837,399081.658983444,0.0012388858205151,1117.10460664505,1.38568175868724
15,0.03,0.05,0.0001,665612.309494857,1051.0664467899,3024.43946428936,4.77539662068699,8831363.25104085,498944.158156589,0.00157644698047347,1104.29845939865,1.74361669112834
15,0.03,0.05,0.001,665581.843475975,1051.91588852825,3024.44988445004,4.77510580004375,8831393.70663957,498943.309005672,0.00157634570407051,1104.30226405982,1.74351050524097
15,0.03,0.05,0.01,665277.336576904,1060.48698325507,3024.55414417107,4.77217151783572,8831698.10927892,498934.740845227,0.00157532435285054,1104.34033189046,1.74243912544977
15,0.03,0.05,0.1,662247.414554256,1154.6283380305,3025.59143728318,4.73994237145615,8834726.99400846,498840.631719598,0.00156416634935693,1104.71907353802,1.73067145837793
15,0.03,0.06,0.0001,665388.408425723,1274.26996777855,2990.28127405422,5.72602877482066,8731621.31030022,598720.004003447,0.00191121989903487,1091.82645018905,2.09071625640639
15,0.03,0.06,0.001,665351.486814618,1275.29775515906,2990.29391538842,5.72567691578597,8731658.21926999,598718.976567925,0.00191109461716918,1091.8310658562,2.09058778387635
15,0.03,0.06,0.01,664982.499305138,1285.66833604819,2990.4202368368,5.72212656119995,8732027.08045802,598708.609537391,0.00190983133215017,1091.87718897504,2.08929146065813
15,0.03,0.06,0.1,661314.868127881,1399.56526015213,2991.67584662129,5.68313412226854,8735693.4560255,598594.751605725,0.00189604720648399,1092.3356434976,2.0750543463933
15,0.03,0.07,0.0001,665159.847802981,1502.11898812011,2956.12465452011,6.67507049976492,8631884.0275425,698491.20594138,0.00225296041558129,1079.35501448166,2.43723511622667
15,0.03,0.07,0.001,665116.342405652,1503.32807788293,2956.13956397525,6.67465660456298,8631927.51803037,698489.997265513,0.00225280969633552,1079.36045829646,2.43708399274106
15,0.03,0.07,0.01,664681.599073001,1515.52793619967,2956.28839841641,6.67048000280964,8632362.11252858,698477.801583798,0.00225129010442711,1079.41480147179,2.43555901102587
15,0.03,0.07,0.1,660365.038793739,1649.50452646532,2957.76615986867,6.62461330170737,8636677.19504639,698343.870860233,0.0022347301042981,1079.95436912205,2.4188119317859
15,0.03,0.08,0.0001,664926.480789824,1734.76006129661,2921.96970650726,7.62247172945553,8532151.54950367,798257.617466974,0.00260188833998164,1066.88418908846,2.78315499021745
15,0.03,0.08,0.001,664876.257536697,1736.15346573363,2921.98690344022,7.62199470755195,8532201.75555986,798256.224539559,0.00260171066259763,1066.89046811861,2.78298081759491
15,0.03,0.08,0.01,664374.445277314,1750.21299678961,2922.15871475242,7.61718149138756,8532703.39600793,798242.169821719,0.00259991950276926,1066.95320072398,2.78122339204289
15,0.03,0.08,0.1,659397.441235994,1904.5999963478,2923.86256209181,7.5643272729192,8537678.69620191,798087.835676379,0.00258042501430369,1067.57531798377,2.76192499552462
15,0.03,0.09,0.0001,664688.153427659,1972.3459683517,2887.81645681274,8.56818011030399,8432424.03011553,898019.085851538,0.00295823282621963,1054.41398379375,3.12845676277475
15,0.03,0.09,0.001,664631.076372811,1973.92676555867,2887.83598843,8.56763890113999,8432481.08763876,898017.50559554,0.00295802657485087,1054.42111527551,3.12825915377874
15,0.03,0.09,0.01,664060.842325656,1989.87697532877,2888.03119746379,8.56217834165793,8433051.12647688,898001.56084633,0.00295594763599743,1054.49239097397,3.12626536699785
15,0.03,0.09,0.1,658411.573530754,2165.01187213405,2889.96522311623,8.50222119074623,8438698.46124613,897826.485906675,0.00293335059099797,1055.19855209031,3.10437351227122
15,0.03,0.1,0.0001,664444.707053975,2215.03606007504,2853.66494488828,9.51214103965581,8332701.62800114,997775.451798885,0.00332223287424535,1041.94441300233,3.47312049710433
15,0.03,0.1,0.001,664380.634930472,2216.80738679489,2853.68687316839,9.51153460620119,8332765.67819636,997773.681078599,0.00332199633122666,1041.95241956561,3.47289907308921
15,0.03,0.1,0.01,663740.583760744,2234.67989456338,2853.90600258846,9.50541600932439,8333405.51023667,997755.814689427,0.00331961238527826,1042.03242919511,3.47066502040457
15,0.03,0.1,0.1,657406.914113528,2430.90702307938,2856.0743176632,9.43823791941605,8339737.01156881,997559.654739001,0.00329373462385582,1042.82413523678,3.44613662032679
15,0.03,0.11,0.0001,664195.974862166,2462.99660542558,2819.51524092702,10.4542976278261,8232984.50989691,1097526.54909695,0.00369413786452441,1029.47550234348,3.81712542136001
15,0.03,0.11,0.001,664124.760528916,2464.96165458514,2819.53962653145,10.453624916508,8233055.69984455,1097524.5847205,0.00369386920310127,1029.48440613729,3.81687979763999
15,0.03,0.11,0.01,663413.457254626,2484.78871338405,2819.78312752659,10.4468371056478,8233766.75961784,1097504.76444951,0.0036911619324917,1029.57331443815,3.81440139819967
15,0.03,0.11,0.1,656382.921153517,2702.45933424585,2822.19004603989,10.3723179847793,8240794.88880044,1097287.16834777,0.00366181451695972,1030.45214056031,3.78719260419253
15,0.03,0.12,0.0001,663941.781304635,2716.40116830692,2785.36742358239,11.3945905293992,8133272.85127178,1197272.20424116,0.00407420812779379,1017.00728053552,4.16044986704688
15,0.03,0.12,0.001,663863.276460003,2718.5632072063,2785.39427938391,11.3938502759029,8133351.32926061,1197270.04294252,0.00407390540422838,1017.01708626005,4.16017958198906
15,0.03,0.12,0.01,663079.237901455,2740.3776855149,2785.66269066696,11.3863821089262,8134135.09940788,1197248.23593238,0.00407085532383099,1017.11508992977,4.15745276752169
15,0.03,0.12,0.1,655339.032397308,2979.85008008082,2788.31255212951,11.3043991474336,8141872.65505056,1197008.84552077,0.00403783779858796,1018.08262059629,4.12751873870669
15,0.03,0.13,0.0001,663681.946585857,2975.4310319103,2751.22151344214,12.3329575184468,8033566.8319007,1297012.23601057,0.00446271555275696,1004.53975509556,4.5030711139229
15,0.03,0.13,0.001,663595.994783015,2977.79337735021,2751.25093830674,12.3321487702793,8033652.75427868,1297009.87447388,0.00446237669782629,1004.55049884925,4.50277581974824
15,0.03,0.13,0.01,662737.693622633,3001.62878342095,2751.54478721451,12.3239888028747,8034510.76159015,1296986.04722778,0.00445896307010389,1004.6577904317,4.49979641164964
15,0.03,0.13,0.1,654274.663890932,3263.26831886996,2754.44208280507,12.2344168522406,8042970.89402626,1296724.49726428,0.00442206266390594,1005.7156654842,4.46709145317434
15,0.03,0.14,0.0001,663416.278728821,3240.27560138046,2717.0776243004,13.2693339585506,7933866.64364688,1396746.45506466,0.00485994423471073,992.072967572684,4.84496556161578
15,0.03,0.14,0.001,663322.720491376,3242.84164047051,2717.10965466056,13.268455482979,7933960.16985396,1396743.88990405,0.00485956704446385,992.084662657939,4.84464480822272
15,0.03,0.14,0.01,662388.580961038,3268.73211630863,2717.4294566424,13.2595919205925,7934893.98958232,1396718.00829177,0.00485576778783007,992.201430356557,4.84140850000634
15,0.03,0.14,0.1,653189.206858311,3552.9113033309,2720.57883630161,13.1623035383917,7944090.21430539,1396433.92639313,0.00481475855433848,993.351347604625,4.80588607945525
15,0.03,0.15,0.0001,663144.580603617,3511.13289731665,2682.93578485316,14.2036518815074,7834172.48361153,1496474.6634508,0.0052661911683377,979.606928444509,5.18610839323539
15,0.03,0.15,0.001,663043.251326769,3513.90608057279,2682.97046893,14.2027024553728,7834273.7782043,1496471.89121697,0.00526577329407357,979.619592468065,5.18576173401799
15,0.03,0.15,0.01,662031.646114115,3541.8863965752,2683.3167915065,14.1931234413104,7835285.03709438,1496443.92047998,0.00526156488347327,979.746043498812,5.18226419650846
15,0.03,0.15,0.1,652082.029360724,3848.98493915117,2686.72302818451,14.0879887144548,7845231.24761109,1496136.92707213,0.0052162067713388,980.98974566587,5.14387687936532
15,0.03,0.16,0.0001,662866.644085449,3788.21002604083,2648.79608522838,15.1358404743594,7734484.55982932,1596196.65413348,0.0056817669882336,967.141670619013,5.52647375320048
15,0.03,0.16,0.001,662757.372180633,3791.193857965,2648.83349380677,15.1348189611166,7734593.79432556,1596193.67132307,0.00568130592566675,967.155329426197,5.52610077317772
15,0.03,0.16,0.01,661666.622140589,3821.29942006473,2649.20692373592,15.1245124425338,7735684.17093567,1596163.57606749,0.00567666328489051,967.291678029078,5.52233760558017
15,0.03,0.16,0.1,650952.47555172,4151.7042664715,2652.87487618376,15.0113987226365,7746394.6495721,1595833.28433481,0.00562670113184011,968.630939166595,5.48103695860265
15,0.03,0.17,0.0001,662582.251868569,4071.72371823536,2614.65860298962,16.0658255643557,7634803.08952844,1695912.2104562,0.00610699676103533,954.677222416586,5.86603455918536
15,0.03,0.17,0.001,662464.861957438,4074.92177526074,2614.69877177538,16.0647305946266,7634920.43927079,1695909.01349414,0.00610648983846481,954.691889044487,5.86563475836303
15,0.03,0.17,0.01,661293.231709969,4107.18860914806,2615.09988889428,16.053684161268,7636091.66840114,1695876.75770669,0.00610138622301125,954.838346932524,5.86160142938297
15,0.03,0.17,0.1,649799.859342566,4461.2939409125,2619.03463425112,15.9324567678851,7647581.10602318,1695522.77360232,0.00604654867310835,956.27502083094,5.81733827737406
15,0.03,0.18,0.0001,662291.176143229,4361.90089031865,2580.52339277847,16.9935293228871,7535128.30046399,1795621.10558036,0.00654222083340252,942.213603788238,6.20476239401915
15,0.03,0.18,0.001,662165.485584533,4365.31680207293,2580.56643698182,16.9923599842712,7535253.94797849,1795617.69083794,0.0065416651989237,942.229320302986,6.20433543925702
15,0.03,0.18,0.01,660911.184429907,4399.78156606328,2580.9958299554,16.980560923893,7536507.81974014,1795583.23787301,0.00653607206882503,942.386102412467,6.20002730733645
15,0.03,0.18,0.1,648623.47037979,4777.98881660469,2585.20250787405,16.8510822165105,7548791.32711234,1795205.16010118,0.00647607039327888,943.922065687513,6.1527513943034
15,0.03,0.19,0.0001,661993.179261959,4658.9792584647,2546.39055473162,17.9188704788022,7435460.43018331,1895323.10187106,0.00698779574049717,929.750851296384,6.54262758357264
15,0.03,0.19,0.001,661858.999292302,4662.61671420993,2546.43650208679,17.9176252789532,7435594.56420561,1895319.46566051,0.00698718834803027,929.767627824438,6.5421729299778
15,0.03,0.19,0.01,660520.176091205,4699.31667492839,2546.89483383317,17.9050610148768,7436932.92907496,1895282.77826406,0.00698107522962824,929.934976203336,6.5375854030569
15,0.03,0.19,0.1,647422.565482577,5102.03448467324,2551.37878026776,17.7671911646887,7450026.05573716,1894880.19832416,0.00691560205696775,931.572177145267,6.48724567400695
15,0.03,0.2,0.0001,661688.010288017,4963.20796929174,2512.26017984355,18.8417637787706,7335799.72953214,1995017.95026693,0.00744409518006442,917.288998165378,6.87959899972363
15,0.03,0.2,0.001,661545.146827898,4967.0707247204,2512.30909533478,18.8404414181956,7335942.54407677,1995014.08883386,0.00744343277417129,917.30685843411,6.87911617281865
15,0.03,0.2,0.01,660119.88687541,5006.04373962261,2512.79703189135,18.8270990714767,7337367.3160927,1994975.12916131,0.00743676710978274,917.48501626933,6.87424454847293
15,0.03,0.2,0.1,646196.372112023,5433.68792257505,2517.56371908952,18.6806956665819,7351286.06416889,1994547.63138176,0.00736549504373313,919.225452932563,6.82078900526073
15,0.03,0.21,0.0001,661375.407206928,5274.84831574988,2478.13235330641,19.762119744501,7236146.46043976,2094705.38956451,0.00791151105769638,904.828075501004,7.21564397171093
15,0.03,0.21,0.001,661223.659755823,5278.94018684513,2478.18429710229,19.7607188449441,7236298.15594707,2094701.29909431,0.00791079015702465,904.847041479473,7.21513246826023
15,0.03,0.21,0.01,659709.982883007,5320.2246926573,2478.70251709782,19.7465852752085,7237811.3145999,2094660.02872207,0.00790353714088199,905.036256555342,7.20997194861051
15,0.03,0.21,0.1,644944.084546782,5773.2181433461,2483.75758837196,19.5915035452257,7252572.15786485,2094207.19035311,0.00782611726366201,906.881989454311,7.15334773195052
15,0.03,0.22,0.0001,661055.095980457,5594.17448646528,2444.00715718935,20.6798444134081,7136500.89686236,2194385.14566912,0.00839045460943323,892.368113268763,7.55072819144562
15,0.03,0.22,0.001,660894.255075126,5598.49932905561,2444.062213662,20.6783637492995,7136661.68271121,2194380.8223072,0.00838967148867969,892.388215763339,7.55018756396299
15,0.03,0.22,0.01,659290.114210366,5642.1343331282,2444.61139635241,20.6634254337956,7138265.27439328,2194337.20224144,0.00838179388812483,892.588736093173,7.54473321151463
15,0.03,0.22,0.1,643664.862553911,6120.90690726321,2449.96067451392,20.4995183258154,7153885.17677158,2193858.59357441,0.0082978541347196,894.541891281896,7.48488662871335
