R0,vaccine_failure,coverage,assortativity,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0,0,666666.666417052,0,3195.25277242559,0,9330138.08081052,0,0,1166.66666853189,0
15,0.03,0,0.3,666666.666391737,0,3195.25276718292,0,9330138.08084108,0,0,1166.66666661766,0
15,0.03,0,0.6,666666.666392434,0,3195.25276867434,0,9330138.08083889,0,0,1166.66666716222,0
15,0.03,0,0.9,666666.666394365,0,3195.2527701129,0,9330138.08083552,0,0,1166.66666768747,0
15,0.03,0,0.98,666666.666417117,0,3195.25277244049,0,9330138.08081044,0,0,1166.66666853734,0
15,0.03,0.01,0,666464.707909678,201.959002396872,3161.08705223969,0.95790516734536,9230374.20503808,99797.0830924358,0.000302938503483793,1154.19190994902,0.349755124226974
15,0.03,0.01,0.3,664515.843313797,277.196602658754,3161.75425120642,0.932147689476254,9232322.402435,99721.8712496518,0.000294732885878811,1154.43552097175,0.340350425120017
15,0.03,0.01,0.6,662577.677181283,442.86128671947,3162.4177800036,0.875432631772845,9234259.90503871,99556.2632806488,0.000276747229209117,1154.67779192381,0.31964233967606
15,0.03,0.01,0.9,660647.462056199,1137.38225284357,3163.07858635568,0.637664412817569,9236189.45935745,98861.9800827436,0.000201555500643484,1154.91906884312,0.232827218730015
15,0.03,0.01,0.98,660130.804694708,2136.51805341241,3163.25545899482,0.29561175845642,9236705.9398463,97863.1863348291,9.34430176232404e-05,1154.98364946548,0.1079352433064
15,0.03,0.02,0,666258.75340702,407.913522494094,3126.92271517902,1.91444247868103,9130614.3238778,199590.172035027,0.000611870283499898,1141.71765637974,0.699010810028411
15,0.03,0.02,0.3,662335.509834048,559.562122729321,3128.2658239289,1.86252580131947,9134536.22434202,199438.575351469,0.000595031766502482,1142.20805896204,0.680054733206771
15,0.03,0.02,0.6,658456.79391884,893.14976987637,3129.59368888534,1.74832256302949,9138413.61239227,199105.101907561,0.000558330120643966,1142.69289565426,0.638356275826141
15,0.03,0.02,0.9,654616.524024372,2287.49320966124,3130.90842312207,1.27097117502137,9142252.56755251,197711.235819164,0.000405778537888182,1143.17293799245,0.464063350279676
15,0.03,0.02,0.98,653592.366806918,4283.96256959984,3131.25903215157,0.587482858860169,9143276.37416093,195715.449947541,0.000187583540906126,1143.30095411434,0.214504678841319
15,0.03,0.03,0,666048.683107199,617.983314223175,3092.75978263484,2.86957093234161,9030858.55711016,299379.147114844,0.000926974971675765,1129.24391563455,1.04775208667123
15,0.03,0.03,0.3,660125.053554537,847.240592727206,3094.78772684441,2.79108504332065,9036780.15871862,299149.968322229,0.000901053762573906,1129.98436876406,1.01909492644245
15,0.03,0.03,0.6,654303.640605963,1351.05200521044,3096.78069765312,2.61860597206084,9042599.57869639,298646.329388817,0.000844875317935967,1130.7120522306,0.956118505548714
15,0.03,0.03,0.9,648573.816709243,3450.56159943117,3098.74227598416,1.89984197350276,9048327.44101477,296547.538558595,0.000612725332762413,1131.42827351872,0.693679800575195
15,0.03,0.03,0.98,647051.351175911,6442.443627725,3099.26348784728,0.875575615206979,9049849.38533624,293556.68079666,0.000282431077214021,1131.61858100024,0.319694546502448
15,0.03,0.04,0,665834.373461992,832.29296682749,3058.59829689635,3.82324787112044,8931107.02824111,399163.883785301,0.00124843945068664,1116.77070315428,1.39596337894285
15,0.03,0.04,0.3,657883.848794246,1140.38140034972,3061.32014280641,3.71777424900862,8939054.83106295,398855.900825401,0.00121296191095094,1117.76451714219,1.35745232266927
15,0.03,0.04,0.6,650117.837039856,1816.76085718011,3063.97882717461,3.48621675284329,8946818.18413297,398179.752926067,0.00113651393020593,1118.73526927213,1.27290489188191
15,0.03,0.04,0.9,642519.305107825,4626.82205444418,3066.58016881503,2.52419648279677,8954414.11472336,395370.653749073,0.00082245377880847,1119.68508413859,0.92164724078117
15,0.03,0.04,0.98,640507.755956549,8612.07314604681,3067.2688270915,1.15985171312973,8956424.97521636,391386.76700224,0.000377995330685535,1119.93653049178,0.423490856756494
15,0.03,0.05,0,665615.694289214,1050.97214887771,3024.43830320329,4.77542889979467,8831359.86740758,498944.252422223,0.00157645822385707,1104.2980354571,1.74362847703753
15,0.03,0.05,0.3,655611.248270662,1439.13953188954,3027.86331043057,4.6425403751735,8841360.88841891,498556.217927735,0.00153092544699954,1105.54859122096,1.69510755448522
15,0.03,0.05,0.6,645898.996535214,2290.47576916982,3031.18830602489,4.35108671285683,8851069.81515876,497705.173144117,0.00143338173217795,1106.76263023734,1.58869053603185
